Date,bt_Open,bt_High,bt_Low,bt_Close,bt_Volume,bt_Market Cap,eth_Open,eth_High,eth_Low,eth_Close,eth_Volume,eth_Market Cap
25-Mar-17,936.54,975.76,903.71,972.78,435803008,15794781102,53.58,53.58,48.31,51.25,223059008,4617794703
24-Mar-17,1038.45,1040.47,934.36,937.52,491038016,15220718764,43.64,54.14,43.21,53.11,297046016,4783511280
23-Mar-17,1050.05,1058.01,1028.93,1038.59,248540000,16859314109,42.57,44.75,41.3,43.68,100724000,3932863932
22-Mar-17,1120.65,1120.65,1014.21,1049.14,380840992,17028630158,43.12,43.52,39.69,42.34,113952000,3811229796
21-Mar-17,1055.36,1122.43,1055.36,1120.54,337391008,18185299687,43.51,44.26,42.37,43.15,91265400,3882154700
20-Mar-17,1037.24,1063.03,1036.68,1054.23,286529984,17107266418,44.83,46.23,42.44,43.39,154700992,3902862599
19-Mar-17,976.73,1069.91,976.73,1036.74,406648000,16821676707,35.53,47,35.34,44.74,239430000,4022867100
18-Mar-17,1099.69,1114.07,957.66,973.82,621302016,15798760668,46.87,46.87,31.7,34.16,262180000,3070500515
17-Mar-17,1180.16,1180.16,1099.57,1100.23,706598976,17847435957,45.93,55.11,38.21,46.83,497534016,4207676009
16-Mar-17,1251.33,1257.98,1152.44,1187.81,638568000,19265847025,35.36,47.17,35.36,46.35,454417984,4162873752
15-Mar-17,1240.16,1251.61,1239.75,1249.61,297804992,20265831337,28.65,35.06,28.43,35.06,170344000,3147689118
14-Mar-17,1232.16,1244.81,1220.72,1240,245306000,20107761880,28.57,29.93,27.32,28.65,101797000,2572014998
13-Mar-17,1221.78,1237.37,1217.03,1231.92,380276992,19974334865,23.5,30.6,23.5,28.59,255488000,2565583285
12-Mar-17,1176.62,1226.98,1175.36,1221.38,227176000,19801195767,21.46,23.44,21.38,23.44,74628896,2102276260
11-Mar-17,1116.32,1193.83,1116.32,1175.83,283320000,19060468862,19.37,21.59,19.01,21.47,69150096,1925342939
